subcellular_location	group
Cytoplasmic vesicle, COPI-coated vesicle membrane	cytoplasmic vesicle
Cytoplasmic vesicle, COPII-coated vesicle	cytoplasmic vesicle
Cytoplasmic vesicle, COPII-coated vesicle membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Clathrin-coated vesicle	cytoplasmic vesicle
Cytoplasmic vesicle, Clathrin-coated vesicle membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Phagosome	cytoplasmic vesicle
Cytoplasmic vesicle, Phagosome lumen	cytoplasmic vesicle
Cytoplasmic vesicle, Phagosome membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle lumen	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Acrosome	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Acrosome inner membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Acrosome lumen	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Acrosome membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Acrosome outer membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Chromaffin granule	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Chromaffin granule lumen	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Chromaffin granule membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Cortical granule	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Microneme membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Neuronal dense core vesicle	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Neuronal dense core vesicle membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Synaptic vesicle	cytoplasmic vesicle
Cytoplasmic vesicle, Secretory vesicle, Synaptic vesicle membrane	cytoplasmic vesicle
Dynein axonemal particle	dynein axonemal particle
Early endosome	early endosome
Early endosome membrane	early endosome
Endomembrane system	endomembrane system
Endoplasmic reticulum	endoplasmic reticulum
Endoplasmic reticulum lumen	endoplasmic reticulum
Endoplasmic reticulum membrane	endoplasmic reticulum
Endoplasmic reticulum-Golgi intermediate compartment	endoplasmic reticulum
Endoplasmic reticulum-Golgi intermediate compartment lumen	endoplasmic reticulum
Endoplasmic reticulum-Golgi intermediate compartment membrane	endoplasmic reticulum
Endosome	endosome
Endosome lumen	endosome
Endosome membrane	endosome
Endosome, Multivesicular body	endosome
Endosome, Multivesicular body lumen	endosome
Endosome, Multivesicular body membrane	endosome
Extracellular vesicle	extracellular vessicle
Extracellular vesicle membrane	extracellular vessicle
Golgi apparatus	golgo apparatus
Golgi apparatus lumen	golgo apparatus
Golgi apparatus membrane	golgo apparatus
Golgi apparatus, Cis-Golgi network	golgo apparatus
Golgi apparatus, Cis-Golgi network membrane	golgo apparatus
Golgi apparatus, Golgi stack	golgo apparatus
Golgi apparatus, Golgi stack membrane	golgo apparatus
Golgi apparatus, Trans-Golgi network	golgo apparatus
Golgi apparatus, Trans-Golgi network membrane	golgo apparatus
Golgi outpost	golgi outpost
Inflammasome	inflammasome
Late endosome	late endosome
Late endosome membrane	late endosome
Lateral cell membrane	lateral cell membrane
Lipid droplet	lipid droplet
Lysosome	lysosome
Lysosome lumen	lysosome
Lysosome membrane	lysosome
Melanosome	melanosome
Melanosome membrane	melanosome
Membrane	membrane
Membrane raft	membrane
Membrane, Caveola	membrane
Membrane, Clathrin-coated pit	membrane
Membrane, Coated pit	membrane
Microsome	microsome
Microsome membrane	microsome
Midbody	midbody
Midbody, Midbody ring	midbody
Mitochondrion	mitochondrion
Mitochondrion inner membrane	mitochondrion
Mitochondrion intermembrane space	mitochondrion
Mitochondrion matrix	mitochondrion
Mitochondrion matrix, Mitochondrion nucleoid	mitochondrion
Mitochondrion membrane	mitochondrion
Mitochondrion outer membrane	mitochondrion
Myelin membrane	myelin membrane
Nucleus	nucleus
Nucleus envelope	nucleus
Nucleus inner membrane	nucleus
Nucleus intermembrane space	nucleus
Nucleus lamina	nucleus
Nucleus matrix	nucleus
Nucleus membrane	nucleus
Nucleus outer membrane	nucleus
Nucleus speckle	nucleus
Nucleus, Cajal body	nucleus
Nucleus, Gem	nucleus
Nucleus, Nuclear body	nucleus
Nucleus, Nuclear pore complex	nucleus
Nucleus, Nucleolus	nucleus
Nucleus, Nucleolus fibrillar center	nucleus
Nucleus, Nucleoplasm	nucleus
Nucleus, PML body	nucleus
Parasitophorous vacuole	parasitophorous vacuole
Perikaryon	perikaryon
Peroxisome	peroxisome
Peroxisome matrix	peroxisome
Peroxisome membrane	peroxisome
Photoreceptor inner segment	photoreceptor
Photoreceptor inner segment membrane	photoreceptor
Photoreceptor outer segment membrane	photoreceptor
Postsynapse	postsynapse
Postsynaptic cell membrane	postsynapse
Postsynaptic density	postsynapse
Postsynaptic density membrane	postsynapse
Postsynaptic recycling endosome membrane	postsynapse
Preautophagosomal structure	preautophagosomal structure
Preautophagosomal structure membrane	preautophagosomal structure
Presynapse	presynapse
Presynaptic active zone	presynapse
Presynaptic cell membrane	presynapse
Recycling endosome	recycling endosome
Recycling endosome membrane	recycling endosome
Rough endoplasmic reticulum	rough endoplasmic reticulum
Rough endoplasmic reticulum lumen	rough endoplasmic reticulum
Rough endoplasmic reticulum membrane	rough endoplasmic reticulum
Sarcoplasmic reticulum	sarcoplasmic reticulum
Sarcoplasmic reticulum lumen	sarcoplasmic reticulum
Sarcoplasmic reticulum membrane	sarcoplasmic reticulum
Secreted	secreted
Secreted, Extracellular exosome	secreted
Secreted, Extracellular space	secreted
Secreted, Extracellular space, Extracellular matrix	secreted
Secreted, Extracellular space, Extracellular matrix, Basement membrane	secreted
Secreted, Extracellular space, Extracellular matrix, Interphotoreceptor matrix	secreted
Secreted, Extracellular space, Surface film	secreted
Smooth endoplasmic reticulum membrane	smooth endoplasmic reticulum membrane
Synapse	synapse
Synapse, Synaptosome	synapse
Synaptic cell membrane	synapse
Synaptic cleft	synapse
Target cell membrane	target cell membrane
Vacuole	vacuole
Vacuole membrane	vacuole membrane
Vesicle	vesicle
Virion	virion
Zona pellucida	zona pellucida
Zymogen granule	zymogen granule
Zymogen granule lumen	zymogen granule
Zymogen granule membrane	zymogen granule
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
